model_id,Project_Identifier,Cell_line,Source,Identifier,Gender,Tissue_type,Cancer_type,Cancer_subtype,Haem_lineage,BROAD_ID,CCLE_ID,ploidy,mutational_burden,msi_status,growth_properties,growth,size,media,replicates_correlation,number_of_proteins,EMT,Proteasome,TranslationInitiation,CopyNumberInstability,GeneExpressionCorrelation,CopyNumberAttenuation,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15
SIDM00896,SIDM00896;BC-1,BC-1,ATCC,CVCL_1079,Male,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma,Primary effusion lymphoma,B lymphoid,ACH-002214,BC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.223826789,6.866666667,MSS,Suspension,1.400015934,12.4,R,0.935367418,5392,0.359003876,0.623563848,0.602167871,0.185294575,0.482038054,0.036439051,-0.017573831,0.178213998,2.661180516,3.510773384,0.857860027,-0.460410592,0.769344541,1.655735696,2.109066796,-0.056366659,-0.550704882,0.22918636,0.48678876,0.299904549,-0.319624837
SIDM00312,SIDM00312;L-363,L-363,DSMZ,CVCL_1357,Female,Haematopoietic and Lymphoid,Plasma Cell Myeloma,,B lymphoid,ACH-000183,L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.094163758,8.4,MSS,Suspension,0.97687844,12.4,R,0.93468133,5364,0.483466754,0.662371975,0.618824118,0.210105374,0.378997258,0.025564874,-0.138924748,0.249485911,1.719079155,0.359443396,0.4263608,0.586819719,1.267371741,3.302839254,1.927399012,1.67645876,-1.009455463,-0.329970134,0.530467659,0.585515536,-0.092114513
SIDM00277,SIDM00277;EoL-1-cell,EoL-1-cell,RIKEN,CVCL_0258,Male,Haematopoietic and Lymphoid,Acute Myeloid Leukemia,Chronic Eosinophilic Leukemia,Myeloid,ACH-000198,EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.127154189,10.4,MSS,Suspension,1.129640718,12.2,R,0.930694711,5258,0.485358495,0.638163027,0.608580317,0.229174526,0.474232753,0.014845577,0.052778192,-0.026733779,0.179408933,-0.559737477,0.204171486,-1.023188467,-3.082193494,-1.778517568,0.218588171,-0.191836004,-1.5289751,0.444940467,-0.23824369,1.183521049,-0.245174026
SIDM01119,SIDM01119;NCI-H727,NCI-H727,ATCC,CVCL_1584,Female,Lung,Carcinoid Tumour,Lung Carcinoid Tumor,,ACH-000775,NCIH727_LUNG,2.646021597,18.3,MSS,Adherent,0.282890793,17,R,0.929295825,4843,0.260420837,0.274908512,0.525767208,0.641587773,0.339121881,0.061721433,1.150863395,1.498455664,0.370860523,-1.014584256,-0.468696773,1.15562679,1.266913309,-0.128102385,0.1088428,-0.895634273,-0.813593711,0.352701873,-1.68028983,0.4363571,-0.034756331
SIDM00657,SIDM00657;MV-4-11,MV-4-11,ATCC,CVCL_0064,Male,Haematopoietic and Lymphoid,Acute Myeloid Leukemia,Acute Monocytic leukemia,Myeloid,ACH-000045,MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.012127396,4.566666667,MSS,Suspension,1.305835548,11.7,D/F12,0.907205356,4771,0.430214542,0.671473682,0.584981251,0.092882371,0.554403648,0.025315046,0.265492857,-0.356895423,-0.208847772,-2.924950608,0.567699685,-0.160455371,-2.825198424,-2.446800068,0.334810381,-2.487931171,-1.485627055,0.177513259,-0.218151504,0.501118696,-0.044598198
SIDM00045,SIDM00045;HSC-39,HSC-39,JCRB,CVCL_A385,Male,Stomach,Gastric Carcinoma,Gastric signet ring cell adenocarcinoma,,ACH-002141,HSC39_STOMACH,2.975554901,11.13333333,MSS,Unknown,1.997767874,14.5,D/F12,0.932841053,5692,0.330925407,0.606595142,0.62154216,0.472457943,0.492343251,0.010755819,3.175968049,2.075019018,-0.399905736,1.413083222,-0.956978516,-0.637956363,-1.349888759,2.364421439,2.31095582,0.437364546,-0.473588072,0.492597205,-0.947698168,0.133812936,0.234982075
SIDM00403,SIDM00403;RPMI-8402,RPMI-8402,DSMZ,CVCL_1667,Female,Haematopoietic and Lymphoid,T-Lymphoblastic Leukemia,Childhood T acute lymphoblastic leukemia,T lymphoid,ACH-000636,RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,3.685253765,13.3,MSS,Suspension,1.276154304,12.2,R,0.938626607,5566,0.43159866,0.660043291,0.607241518,0.38827116,0.494905778,-0.034611341,-0.506937683,0.694834428,-0.049417452,0.694604471,-0.616265977,-0.380824177,-1.229284153,-2.680275205,-2.056836815,-0.458977792,-1.415220225,-0.058265254,-0.124545773,0.957229159,-0.189748451
SIDM00272,SIDM00272;MDA-MB-453,MDA-MB-453,RIKEN,CVCL_0418,Female,Breast,Breast Carcinoma,Breast adenocarcinoma,,ACH-000910,MDAMB453_BREAST,4.199400705,21.9,MSS,Adherent,0.773135556,15.1,D/F12,0.932636829,5387,0.360891021,0.565270608,0.551863272,0.433286227,0.473954442,0.04340644,1.174496299,3.199454511,-0.260224637,4.282721227,-0.115111821,1.925847755,-2.523924693,-0.938666397,1.536413093,-0.155283207,0.993346126,-0.446451048,3.188603885,-2.249560098,0.431431522
SIDM00261,SIDM00261;ES8,ES8,St Jude Children's Research Hospital,CVCL_1204,Male,Bone,Ewing's Sarcoma,,,ACH-002109,ES8_BONE,2.115794564,7.566666667,MSS,Unknown,1.691999336,13.5,R,0.935123803,5835,0.312201878,0.628924447,0.60823651,0.172070174,0.405648335,0.057078057,-2.778420453,1.569486138,0.124241841,-1.423547055,-2.525491702,-2.149763876,-1.392522968,-0.800650851,0.486957337,1.503272265,1.410302672,-0.357755593,0.124804595,1.187601523,-0.34359422
SIDM00576,SIDM00576;NKM-1,NKM-1,JCRB,CVCL_1607,Male,Haematopoietic and Lymphoid,Acute Myeloid Leukemia,Adult Acute Myeloid Leukemia,Myeloid,ACH-002290,NKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.964432613,10.96666667,MSS,Unknown,0.43557666,12.9,R,0.898358547,4744,0.422547347,0.692037353,0.58198028,0.112077451,0.454625158,0.064633707,0.260124193,-0.296592596,-0.10431677,1.68181488,0.653970441,-0.604602357,-2.793124725,-1.692146532,-0.298845344,-0.228228532,-1.065696516,0.505986631,-0.218696232,0.574465892,-0.148611273
SIDM00554,SIDM00554;KURAMOCHI,KURAMOCHI,JCRB,CVCL_1345,Female,Ovary,Ovarian Carcinoma,High grade ovarian serous adenocarcinoma,,ACH-000524,KURAMOCHI_OVARY,2.610143457,9.4,MSS,Unknown,-0.016996065,18.4,R,0.919525589,4780,0.254797148,0.39554849,0.590122457,0.719332795,0.335551556,0.101127179,-1.039655148,0.090731272,0.876727097,-2.618517939,0.034130184,0.097306913,-0.59772649,-0.594290124,-0.797472245,0.659777971,0.815729014,-0.420824146,-0.279173326,-0.191342165,-0.627588516
SIDM00107,SIDM00107;UACC-62,UACC-62,NCI,CVCL_1780,Unknown,Skin,Melanoma,,,ACH-000425,UACC62_SKIN,1.884997577,10.7,MSS,Unknown,0.843336468,22.8,D/F12,0.951732096,5949,0.414656805,0.675931369,0.584077492,0.243892209,0.525975376,0.001826447,-2.288849888,-0.972879948,2.325348977,1.570212566,0.039117353,-0.846595128,0.42808222,-1.597931495,1.273507214,-0.273878051,0.028799629,3.616367341,-0.295784667,-1.422800568,0.142385059
SIDM00489,SIDM00489;Ca9-22,Ca9-22,JCRB,CVCL_1102,Male,Head and Neck,Head and Neck Carcinoma,Gingival squamous cell carcinoma,,ACH-002043,CA922_UPPER_AERODIGESTIVE_TRACT,2.577056849,14.6,MSS,Adherent,0.976279523,13.6,D/F12,0.93025927,5209,0.342823387,0.308393792,0.589861239,0.519572331,0.387922837,0.057328262,2.129639965,-0.233462808,-0.113652922,5.183369286,0.588938968,-2.743303357,0.181453616,-0.653387449,-0.613229102,0.782811845,0.139208082,0.364101919,1.557211599,0.488129084,-0.503012774
SIDM00142,SIDM00142;COLO-684,COLO-684,ECACC,CVCL_1132,Female,Endometrium,Endometrial Carcinoma,Endometrial adenocarcinoma,,ACH-000864,COLO684_ENDOMETRIUM,2.257732755,25.66666667,MSI,Suspension,0.894445489,13,R,0.96077753,6251,0.308622865,0.691672795,0.603367254,0.245588406,0.457350345,0.037469433,-2.196311409,2.946254057,-0.693494336,-0.957795458,1.456882698,-0.078408277,0.870871661,-1.501690017,-1.299473152,-1.560756496,-0.597160343,-0.383800161,0.140547023,-0.019429896,-0.329188124
